學年度,設立別,學校類別,學校統計處代碼,學校名稱,縣市別,校舍總樓地板面積,校地面積總計,可使用校地小計,可使用校地校舍基地,可使用校地露天運動場地,可使用校地其他校地,無法使用校地
107,公立,一般大學,0002,國立清華大學,臺北市,2149,1983,1983,1176,0,807,0
107,公立,一般大學,0003,國立臺灣大學,臺北市,1279312,1368289,1368289,471354,33529,863406,0
107,公立,一般大學,0004,國立臺灣師範大學,新北市,91567,315243,315243,25578,38552,251113,0
107,公立,一般大學,0004,國立臺灣師範大學,臺北市,341701,223645,223645,112097,55314,56234,0
107,公立,一般大學,0005,國立成功大學,臺南市,893768,1855748,1855748,238668,45345,1571735,0
107,公立,一般大學,0006,國立中興大學,臺中市,531573,531525,531525,100470,30909,400146,0
107,公立,一般大學,0007,國立交通大學,新竹市,571574,770103,770103,109358,97928,562817,0
107,公立,一般大學,0007,國立交通大學,新竹縣,11269,25001,25001,3504,0,21497,0
107,公立,一般大學,0007,國立交通大學,臺北市,3477,1793,1793,1172,0,621,0
107,公立,一般大學,0007,國立交通大學,臺南市,30890,81991,81991,6969,550,74472,0
107,公立,一般大學,0008,國立中央大學,宜蘭縣,0,19,19,0,0,19,0
107,公立,一般大學,0008,國立中央大學,南投縣,496,930,930,195,0,735,0
107,公立,一般大學,0008,國立中央大學,屏東縣,0,15,15,0,0,15,0
107,公立,一般大學,0008,國立中央大學,桃園市,421943,636218,636218,102914,22143,511161,0
107,公立,一般大學,0008,國立中央大學,基隆市,0,15,15,0,0,15,0
107,公立,一般大學,0008,國立中央大學,新北市,0,104,104,0,0,104,0
107,公立,一般大學,0008,國立中央大學,新竹縣,0,15,15,0,0,15,0
107,公立,一般大學,0008,國立中央大學,嘉義縣,165,949,949,134,0,815,0
107,公立,一般大學,0008,國立中央大學,臺北市,0,30,30,0,0,30,0
107,公立,一般大學,0008,國立中央大學,臺東縣,0,15,15,0,0,15,0
107,公立,一般大學,0009,國立中山大學,高雄市,334953,734097,289469,64530,70000,154939,444628
107,公立,一般大學,0012,國立臺灣海洋大學,基隆市,206412,328675,242253,53299,15383,173571,86422
107,公立,一般大學,0013,國立中正大學,嘉義市,2352,1300,1300,618,0,682,0
107,公立,一般大學,0013,國立中正大學,嘉義縣,495098,1305956,1305956,121975,12738,1171243,0
107,公立,一般大學,0013,國立中正大學,臺北市,373,33,33,33,0,0,0
107,公立,一般大學,0014,國立高雄師範大學,高雄市,231815,646564,646564,130746,33837,481981,0
107,公立,一般大學,0015,國立彰化師範大學,彰化縣,223079,516254,516254,48581,33647,434026,0
107,公立,一般大學,0015,國立彰化師範大學,臺中市,577,517,517,283,0,234,0
107,公立,一般大學,0016,國立陽明大學,臺北市,220973,499665,499665,41918,28740,429007,0
107,公立,一般大學,0017,國立臺北大學,新北市,220359,545284,545284,28940,23158,493186,0
107,公立,一般大學,0017,國立臺北大學,臺北市,70303,46274,46219,12843,4074,29302,55
107,公立,一般大學,0018,國立嘉義大學,嘉義市,277702,1484492,1144254,69905,77305,997044,340238
107,公立,一般大學,0018,國立嘉義大學,嘉義縣,101620,200405,200405,25006,32900,142499,0
107,公立,一般大學,0019,國立高雄大學,高雄市,220258,825197,825197,64279,30500,730418,0
107,公立,一般大學,0020,國立東華大學,花蓮縣,405882,2469551,2469551,374271,77725,2017555,0
107,公立,一般大學,0020,國立東華大學,臺北市,165,32,32,32,0,0,0
107,公立,一般大學,0021,國立暨南國際大學,南投縣,212364,1484596,1484596,61509,53400,1369687,0
107,公立,技專校院,0022,國立臺灣科技大學,基隆市,0,98959,98959,0,0,98959,0
107,公立,技專校院,0022,國立臺灣科技大學,新北市,0,56693,56693,0,0,56693,0
107,公立,技專校院,0022,國立臺灣科技大學,新竹縣,1736,70406,70406,9027,0,61379,0
107,公立,技專校院,0022,國立臺灣科技大學,臺北市,211494,120264,97672,30644,14261,52767,22592
107,公立,技專校院,0023,國立雲林科技大學,雲林縣,268871,581137,581137,79588,58002,443547,0
107,公立,技專校院,0024,國立屏東科技大學,屏東縣,319413,5666055,2635991,144072,48219,2443700,3030064
107,公立,技專校院,0024,國立屏東科技大學,臺北市,135,51,51,51,0,0,0
107,公立,技專校院,0024,國立屏東科技大學,臺東縣,181,5760622,181,181,0,0,5760441
107,公立,技專校院,0025,國立臺北科技大學,桃園市,0,1767,1767,0,1767,0,0
107,公立,技專校院,0025,國立臺北科技大學,基隆市,0,309146,0,0,0,0,309146
107,公立,技專校院,0025,國立臺北科技大學,新北市,1925,1531802,51250,0,0,51250,1480552
107,公立,技專校院,0025,國立臺北科技大學,臺北市,212451,96518,96518,30095,11744,54679,0
107,公立,一般大學,0028,國立臺北藝術大學,臺北市,124581,370855,129320,41368,15136,72816,241535
107,公立,一般大學,0029,國立臺灣藝術大學,新北市,71073,97459,78959,19703,10350,48906,18500
107,公立,一般大學,0030,國立臺東大學,臺東縣,239586,718677,653063,68146,37100,547817,65614
107,公立,一般大學,0031,國立宜蘭大學,宜蘭縣,188744,153274,153274,45430,5440,102404,0
107,公立,一般大學,0032,國立聯合大學,苗栗縣,211135,769619,769619,46328,21766,701525,0
107,公立,技專校院,0033,國立虎尾科技大學,雲林縣,189076,372763,372763,57019,37290,278454,0
107,公立,一般大學,0035,國立臺南藝術大學,臺南市,97732,575457,325457,35337,10144,279976,250000
107,公立,一般大學,0036,國立臺南大學,臺南市,103980,118162,118162,30279,17813,70070,0
107,公立,一般大學,0037,國立臺北教育大學,臺北市,97278,78049,77638,22977,12666,41995,411
107,公立,一般大學,0039,國立臺中教育大學,臺中市,123098,100497,100497,29821,16083,54593,0
107,公立,技專校院,0042,國立澎湖科技大學,澎湖縣,100991,459622,459622,21679,16552,421391,0
107,公立,技專校院,0043,國立勤益科技大學,臺中市,151629,327477,301705,26708,30653,244344,25772
107,公立,一般大學,0044,國立體育大學,桃園市,139114,642436,630514,72979,92107,465428,11922
107,公立,技專校院,0046,國立臺北護理健康大學,臺北市,74997,82828,82828,20582,15399,46847,0
107,公立,技專校院,0047,國立高雄餐旅大學,高雄市,103057,150044,150044,18402,8578,123064,0
107,公立,一般大學,0048,國立金門大學,金門縣,84605,202169,202169,21870,7500,172799,0
107,公立,一般大學,0049,國立臺灣體育運動大學,臺中市,85218,142740,142740,31104,86711,24925,0
107,公立,技專校院,0050,國立臺中科技大學,臺中市,171375,146295,146295,22552,11928,111815,0
107,公立,技專校院,0051,國立臺北商業大學,桃園市,37276,49451,49451,7053,7874,34524,0
107,公立,技專校院,0051,國立臺北商業大學,臺北市,63866,19955,19955,7839,2369,9747,0
107,公立,一般大學,0052,國立屏東大學,屏東縣,229375,513336,423913,54049,59743,310121,89423
107,公立,技專校院,0053,國立高雄科技大學,高雄市,598535,2161680,1241144,164560,96433,980151,920536
107,公立,技專校院,0144,國立臺灣戲曲學院,臺北市,65174,51930,49778,15556,2271,31951,2152
107,公立,技專校院,0221,國立臺南護理專科學校,臺南市,48909,16897,16897,7252,0,9645,0
107,公立,技專校院,0222,國立臺東專科學校,臺東縣,94597,256088,256088,32880,92346,130862,0
107,私立,一般大學,1001,東海大學,臺中市,327331,1339086,1339086,110260,72377,1156449,0
107,私立,一般大學,1002,輔仁大學,新北市,336723,346032,346032,74064,45120,226848,0
107,私立,一般大學,1003,東吳大學,新北市,1460,0,0,0,0,0,0
107,私立,一般大學,1003,東吳大學,臺北市,156193,158154,114424,24654,16155,73615,43730
107,私立,一般大學,1004,中原大學,桃園市,304456,349263,349263,60699,49725,238839,0
107,私立,一般大學,1005,淡江大學,宜蘭縣,48270,404553,404553,10402,19392,374759,0
107,私立,一般大學,1005,淡江大學,新北市,223045,217126,217126,35072,25809,156245,0
107,私立,一般大學,1005,淡江大學,臺北市,13633,3249,3249,3249,0,0,0
107,私立,一般大學,1006,中國文化大學,新北市,0,918310,918310,0,0,918310,0
107,私立,一般大學,1006,中國文化大學,臺北市,230318,232963,232963,112595,4376,115992,0
107,私立,一般大學,1007,逢甲大學,臺中市,324872,269743,269743,45287,35496,188960,0
107,私立,一般大學,1008,靜宜大學,臺中市,199029,302871,302871,41433,50000,211438,0
107,私立,一般大學,1009,長庚大學,桃園市,410500,371309,371309,61751,42229,267329,0
107,私立,一般大學,1010,元智大學,桃園市,203124,239100,239100,29283,18670,191147,0
107,私立,一般大學,1011,中華大學,新竹市,122225,189055,189055,28774,40800,119481,0
107,私立,一般大學,1012,大葉大學,彰化縣,204420,342099,342099,29587,27334,285178,0
107,私立,一般大學,1013,華梵大學,新北市,60019,306760,300296,126506,10525,163265,6464
107,私立,一般大學,1014,義守大學,高雄市,471637,289072,289072,57928,42081,189063,0
107,私立,一般大學,1015,世新大學,新北市,14985,200734,200734,4235,0,196499,0
107,私立,一般大學,1015,世新大學,臺北市,77494,77626,77626,14426,8948,54252,0
107,私立,一般大學,1016,銘傳大學,金門縣,7427,300000,150000,3843,0,146157,150000
107,私立,一般大學,1016,銘傳大學,桃園市,139078,189227,189227,19799,15062,154366,0
107,私立,一般大學,1016,銘傳大學,新北市,3103,0,0,0,0,0,0
107,私立,一般大學,1016,銘傳大學,臺北市,64212,42315,42315,14083,8262,19970,0
107,私立,一般大學,1017,實踐大學,高雄市,76333,221409,221409,21321,2025,198063,0
107,私立,一般大學,1017,實踐大學,新北市,0,340171,0,0,0,0,340171
107,私立,一般大學,1017,實踐大學,臺北市,111844,55838,47171,16180,2000,28991,8667
107,私立,技專校院,1018,朝陽科技大學,臺中市,157428,663900,663900,14331,23854,625715,0
107,私立,一般大學,1019,高雄醫學大學,屏東縣,0,17711,17711,0,0,17711,0
107,私立,一般大學,1019,高雄醫學大學,高雄市,167687,100856,100856,29410,17700,53746,0
107,私立,一般大學,1020,南華大學,嘉義縣,134988,629051,629051,28587,55597,544867,0
107,私立,一般大學,1021,真理大學,高雄市,390,37,37,37,0,0,0
107,私立,一般大學,1021,真理大學,新北市,82447,91466,91466,18277,36913,36276,0
107,私立,一般大學,1021,真理大學,臺南市,87163,227619,227619,19262,17643,190714,0
107,私立,一般大學,1022,大同大學,臺北市,96593,57895,57895,8254,14240,35401,0
107,私立,技專校院,1023,南臺學校財團法人南臺科技大學,臺南市,265968,164598,164598,42082,21830,100686,0
107,私立,技專校院,1024,崑山科技大學,臺南市,198619,163694,162801,31905,47686,83210,893
107,私立,技專校院,1025,嘉藥學校財團法人嘉南藥理大學,臺南市,305491,270698,270698,55549,32190,182959,0
107,私立,技專校院,1026,樹德科技大學,高雄市,171805,376356,373184,30801,34320,308063,3172
107,私立,一般大學,1027,慈濟學校財團法人慈濟大學,花蓮縣,287045,629820,629820,86708,60258,482854,0
107,私立,一般大學,1028,臺北醫學大學,臺北市,111272,73857,71567,27307,12170,32090,2290
107,私立,一般大學,1029,中山醫學大學,苗栗縣,0,418028,0,0,0,0,418028
107,私立,一般大學,1029,中山醫學大學,臺中市,133805,92099,92062,24711,21678,45673,37
107,私立,技專校院,1030,龍華科技大學,桃園市,98742,70855,70855,17027,4145,49683,0
107,私立,技專校院,1031,輔英科技大學,高雄市,133545,172828,170644,29064,42759,98821,2184
107,私立,技專校院,1032,明新學校財團法人明新科技大學,新竹縣,154934,232666,232666,42195,45270,145201,0
107,私立,一般大學,1033,長榮大學,臺南市,165185,273715,273715,31578,37046,205091,0
107,私立,技專校院,1034,弘光科技大學,臺中市,130400,99114,99114,22573,18942,57599,0
107,私立,一般大學,1035,中國醫藥大學,雲林縣,16376,18723,18723,3043,2160,13520,0
107,私立,一般大學,1035,中國醫藥大學,臺中市,103134,192631,31442,9763,3114,18565,161189
107,私立,技專校院,1036,健行學校財團法人健行科技大學,桃園市,150689,48747,48747,17431,7180,24136,0
107,私立,技專校院,1037,正修學校財團法人正修科技大學,高雄市,203670,88770,88770,40060,9026,39684,0
107,私立,技專校院,1038,萬能學校財團法人萬能科技大學,桃園市,106095,90760,90760,17075,21300,52385,0
107,私立,一般大學,1039,玄奘大學,新竹市,95673,165321,165321,20409,17970,126942,0
107,私立,技專校院,1040,建國科技大學,彰化縣,100127,97627,97627,18276,14608,64743,0
107,私立,技專校院,1041,明志科技大學,新北市,190494,619031,619031,22479,38210,558342,0
107,私立,技專校院,1042,高苑科技大學,高雄市,145268,109917,109917,27610,28338,53969,0
107,私立,技專校院,1043,大仁科技大學,屏東縣,117653,298689,298689,23927,31997,242765,0
107,私立,技專校院,1044,聖約翰科技大學,新北市,102828,112393,112393,21861,23341,67191,0
107,私立,技專校院,1045,嶺東科技大學,臺中市,121094,200154,200154,19935,18657,161562,0
107,私立,技專校院,1046,中國科技大學,新竹縣,87062,141629,141629,11590,17162,112877,0
107,私立,技專校院,1046,中國科技大學,臺北市,63104,54139,54139,10571,8674,34894,0
107,私立,技專校院,1047,中臺科技大學,臺中市,132545,97888,97888,18695,10072,69121,0
107,私立,一般大學,1048,亞洲大學,臺中市,182667,267069,267069,31904,18669,216496,0
107,私立,一般大學,1049,開南大學,桃園市,99793,160392,141347,21109,29898,90340,19045
107,私立,一般大學,1050,佛光大學,宜蘭縣,114852,578249,255071,25792,10400,218879,323178
107,私立,技專校院,1051,台南家專學校財團法人台南應用科技大學,臺南市,168988,144365,144365,32582,31621,80162,0
107,私立,技專校院,1052,遠東科技大學,臺南市,133703,120636,120636,26064,16620,77952,0
107,私立,技專校院,1053,光宇學校財團法人元培醫事科技大學,新竹市,87537,126024,81328,44606,14219,22503,44696
107,私立,技專校院,1054,景文科技大學,新北市,83387,116191,116191,14494,25243,76454,0
107,私立,技專校院,1055,中華醫事科技大學,臺南市,140806,92001,92001,20967,11325,59709,0
107,私立,技專校院,1056,東南科技大學,新北市,92945,109251,109251,14535,10446,84270,0
107,私立,技專校院,1057,德明財經科技大學,臺北市,69940,60832,60832,37840,11855,11137,0
107,私立,一般大學,1058,明道學校財團法人明道大學,彰化縣,87367,411278,411278,22757,59316,329205,0
107,私立,技專校院,1060,南開科技大學,南投縣,83173,92030,92030,14872,13055,64103,0
107,私立,技專校院,1061,中華學校財團法人中華科技大學,雲林縣,11611,296028,290575,2935,3124,284516,5453
107,私立,技專校院,1061,中華學校財團法人中華科技大學,新竹縣,16066,87770,21489,16066,4423,1000,66281
107,私立,技專校院,1061,中華學校財團法人中華科技大學,臺北市,69052,54147,54147,21529,5600,27018,0
107,私立,技專校院,1062,僑光科技大學,臺中市,110437,57262,57262,14966,7959,34337,0
107,私立,技專校院,1063,廣亞學校財團法人育達科技大學,苗栗縣,99312,119651,119651,47627,21428,50596,0
107,私立,技專校院,1063,廣亞學校財團法人育達科技大學,新北市,0,79034,79034,79034,0,0,0
107,私立,技專校院,1064,美和學校財團法人美和科技大學,屏東縣,96995,50574,50574,15248,4951,30375,0
107,私立,技專校院,1065,吳鳳科技大學,嘉義縣,137614,132856,132856,25889,28320,78647,0
107,私立,技專校院,1066,環球學校財團法人環球科技大學,雲林縣,102368,298463,298463,25408,34351,238704,0
107,私立,一般大學,1067,台灣首府學校財團法人台灣首府大學,臺南市,99126,165287,109262,15360,10200,83702,56025
107,私立,技專校院,1068,中州學校財團法人中州科技大學,彰化縣,57492,59947,59947,13917,4348,41682,0
107,私立,技專校院,1069,修平學校財團法人修平科技大學,臺中市,81309,96032,96032,17433,12372,66227,0
107,私立,技專校院,1070,長庚學校財團法人長庚科技大學,桃園市,199268,139046,139046,30826,20886,87334,0
107,私立,技專校院,1070,長庚學校財團法人長庚科技大學,嘉義縣,133639,156216,156216,21863,12415,121938,0
107,私立,技專校院,1071,城市學校財團法人臺北城市科技大學,臺北市,132074,86984,86984,27035,9689,50260,0
107,私立,技專校院,1072,大華學校財團法人大華科技大學,新竹縣,87455,148910,103236,18451,7113,77672,45674
107,私立,技專校院,1073,醒吾學校財團法人醒吾科技大學,新北市,61670,55762,55762,14737,16500,24525,0
107,私立,技專校院,1074,南榮學校財團法人南榮科技大學,臺南市,89910,72144,72144,19133,10254,42757,0
107,私立,技專校院,1075,文藻學校財團法人文藻外語大學,高雄市,91925,56870,56870,20687,28240,7943,0
107,私立,技專校院,1076,華夏學校財團法人華夏科技大學,新北市,61650,59646,59646,10634,1457,47555,0
107,私立,技專校院,1077,慈濟學校財團法人慈濟科技大學,花蓮縣,109055,210049,210049,16681,16992,176376,0
107,私立,技專校院,1078,致理學校財團法人致理科技大學,新北市,79687,60256,60256,9785,30265,20206,0
107,私立,一般大學,1079,康寧學校財團法人康寧大學,臺北市,40351,73581,21176,6395,770,14011,52405
107,私立,一般大學,1079,康寧學校財團法人康寧大學,臺南市,74309,191687,191687,13562,52162,125963,0
107,私立,技專校院,1080,宏國學校財團法人宏國德霖科技大學,新北市,101921,125660,122444,19089,13206,90149,3216
107,私立,技專校院,1081,東方學校財團法人東方設計大學,高雄市,85569,90144,90144,15342,22582,52220,0
107,私立,技專校院,1082,崇右學校財團法人崇右影藝科技大學,基隆市,39450,50129,50129,37095,12100,934,0
107,私立,技專校院,1082,崇右學校財團法人崇右影藝科技大學,新北市,0,202726,0,0,0,0,202726
107,私立,技專校院,1083,台北海洋學校財團法人台北海洋科技大學,新北市,62141,41071,41071,10483,1296,29292,0
107,私立,技專校院,1083,台北海洋學校財團法人台北海洋科技大學,臺北市,25420,34264,34264,8775,6608,18881,0
107,私立,一般大學,1125,中信學校財團法人中信金融管理學院,臺南市,53314,265257,254931,13624,75000,166307,10326
107,私立,技專校院,1148,大漢技術學院,花蓮縣,62319,189052,189052,20644,73443,94965,0
107,私立,技專校院,1159,和春技術學院,高雄市,147350,112497,112497,33297,19674,59526,0
107,私立,技專校院,1166,亞東技術學院,新北市,110070,58459,52821,9956,6409,36456,5638
107,私立,技專校院,1168,南亞科技學校財團法人南亞技術學院,桃園市,92702,50033,50033,13510,14120,22403,0
107,私立,一般大學,1176,稻江科技暨管理學院,嘉義縣,55882,351053,351053,18012,47800,285241,0
107,私立,技專校院,1182,蘭陽技術學院,宜蘭縣,85802,82300,77816,18780,14387,44649,4484
107,私立,技專校院,1183,黎明技術學院,新北市,58230,75229,75229,50525,11192,13512,0
107,私立,技專校院,1185,經國管理暨健康學院,基隆市,55943,121675,121675,8712,12000,100963,0
107,私立,技專校院,1188,大同技術學院,嘉義市,36371,24309,24309,7432,1980,14897,0
107,私立,技專校院,1188,大同技術學院,嘉義縣,23998,98179,98179,4787,47401,45991,0
107,私立,技專校院,1192,臺灣觀光學院,花蓮縣,39488,140340,140340,8382,24651,107307,0
107,私立,一般大學,1195,馬偕學校財團法人馬偕醫學院,新北市,65251,192236,192236,14425,11726,166085,0
107,私立,一般大學,1196,法鼓學校財團法人法鼓文理學院,新北市,65797,299113,220970,135451,21956,63563,78143
107,私立,一般大學,1196,法鼓學校財團法人法鼓文理學院,臺北市,2853,529,529,529,0,0,0
107,私立,技專校院,1282,馬偕學校財團法人馬偕醫護管理專科學校,新北市,44190,122732,85648,7523,4349,73776,37084
107,私立,技專校院,1282,馬偕學校財團法人馬偕醫護管理專科學校,臺北市,27141,14547,14544,5200,814,8530,3
107,私立,技專校院,1283,仁德醫護管理專科學校,苗栗縣,81227,60786,60786,18603,7671,34512,0
107,私立,技專校院,1284,樹人醫護管理專科學校,高雄市,77805,148095,148095,17703,22834,107558,0
107,私立,技專校院,1285,慈惠醫護管理專科學校,屏東縣,63255,195875,195875,11670,35881,148324,0
107,私立,技專校院,1286,耕莘健康管理專科學校,宜蘭縣,39327,94618,94618,12778,17645,64195,0
107,私立,技專校院,1286,耕莘健康管理專科學校,基隆市,0,53630,53630,0,0,53630,0
107,私立,技專校院,1286,耕莘健康管理專科學校,新北市,35254,19875,19875,4908,3211,11756,0
107,私立,技專校院,1287,敏惠醫護管理專科學校,臺南市,34392,122936,110347,29661,3327,77359,12589
107,私立,技專校院,1289,育英醫護管理專科學校,高雄市,17354,74491,74491,4523,6359,63609,0
107,私立,技專校院,1291,聖母醫護管理專科學校,宜蘭縣,33138,41772,41772,9352,3241,29179,0
107,私立,技專校院,1292,新生醫護管理專科學校,桃園市,103365,114007,114007,27676,7780,78551,0
107,私立,技專校院,1293,崇仁醫護管理專科學校,嘉義市,15435,23215,23215,3022,4712,15481,0
107,私立,技專校院,1293,崇仁醫護管理專科學校,嘉義縣,34297,98000,98000,5868,5720,86412,0
107,私立,宗教研修學院,1R02,學校財團法人中華浸信會基督教台灣浸會神學院,臺北市,8313,24100,24100,13442,0,10658,0
107,私立,宗教研修學院,1R03,臺北基督學院,新北市,18824,37746,37746,7027,3925,26794,0
107,私立,宗教研修學院,1R04,財團法人一貫道天皇基金會一貫道天皇學院,高雄市,22021,41911,27710,10525,0,17185,14201
107,私立,宗教研修學院,1R05,台神學校財團法人台灣神學研究學院,臺北市,10453,65191,65191,5460,608,59123,0
107,私立,宗教研修學院,1R06,一貫道崇德學院,南投縣,12485,20541,19100,4100,0,15000,1441
107,私立,宗教研修學院,1R07,台灣基督長老教會南神神學院,臺南市,11454,28149,28149,28149,0,0,0
107,公立,一般大學,3002,臺北市立大學,臺北市,231960,1319332,1319332,34182,1223472,61678,0
 ,,,,,,,,,,,,
統計說明,,,,,,,,,,,,
一、學年度：係指【學年度】為篩選條件。,,,,,,,,,,,,
二、設立別：係指【公立、私立】大學校院等分類。,,,,,,,,,,,,
三、學校類別：係指【一般大學、技專校院、宗教研修學院】等。,,,,,,,,,,,,
四、學校名稱：係指【學校校名】。,,,,,,,,,,,,
五、縣市別：	係指宿舍位處之所屬縣市別。,,,,,,,,,,,,
六、校舍總樓地板面積：  包括普通教室、特別教室、實習工場及實驗室、教師研究室、學生研究室、辦公室、會議室、禮堂、圖書館、體育館(含學生活動中心)、餐廳、學生宿舍、單身教職員宿舍、有眷教職員宿舍、其他等。,,,,,,,,,,,,
七、校地面積總計：,,,,,,,,,,,,
1.  係指【可使用校地、無法使用校地】面積，並以現有使用面積列計，包括租借入者，不包括租借出者。,,,,,,,,,,,,
(1) 可使用校地：係指可使用校地之面積應等於校舍佔地面積(指建築物之地基)、運動場地(以露天者為限)、其他校地(花圃、空地、道路、未興建之空地，露天停車場等)之面積相加。,,,,,,,,,,,,
(2) 無法使用校地：係指山坡地….等。,,,,,,,,,,,,
2.  本表資料不包括學校附設醫院、農林畜牧作業組織(例如附設醫院、附設農場、附設林場)之場地及建築。,,,,,,,,,,,,
3.  本統計以「平方公尺」為統計單位。,,,,,,,,,,,,
資料來源：資料由【教育部高教司大學校院校務資料庫】之「校2. 校地校舍面積明細表」、【教育部技職司技專校院校務資料庫】之「表8-5校地校舍面積統計表」產出，並由【教育部統計處】彙整提供，以每年10月15日為統計基準日。,,,,,,,,,,,,
